image_path,filename,lat,lon,esa_code,label_name,nodata_ratio,split
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.6267_77.5058.png,28.6267_77.5058.png,28.6267,77.5058,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_77.5944.png,28.2056_77.5944.png,28.205599999999997,77.5944,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.6942_77.2822.png,28.6942_77.2822.png,28.694200000000002,77.2822,50,Built-up,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.4942_77.5410.png,28.4942_77.5410.png,28.4942,77.541,50,Built-up,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2442_77.4558.png,28.2442_77.4558.png,28.244199999999996,77.4558,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.8057_77.4734.png,28.8057_77.4734.png,28.80570000000001,77.4734,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.5557_77.0909.png,28.5557_77.0909.png,28.5557,77.0909,50,Built-up,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.7679_77.3057.png,28.7679_77.3057.png,28.767899999999997,77.3057,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.6678_77.5146.png,28.6678_77.5146.png,28.6678,77.51460000000002,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.6942_77.1443.png,28.6942_77.1443.png,28.694200000000002,77.1443,50,Built-up,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.3855_77.1410.png,28.3855_77.1410.png,28.385499999999997,77.141,20,Shrubland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2178_77.5322.png,28.2178_77.5322.png,28.217799999999993,77.5322,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.3090_77.0410.png,28.3090_77.0410.png,28.309,77.041,20,Shrubland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.4057_77.2943.png,28.4057_77.2943.png,28.405699999999992,77.2943,50,Built-up,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.9266_76.9321.png,28.9266_76.9321.png,28.926599999999997,76.9321,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.5942_77.1322.png,28.5942_77.1322.png,28.594199999999997,77.1322,10,Tree cover,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.9854_77.5733.png,28.9854_77.5733.png,28.985400000000002,77.5733,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.3767_76.8558.png,28.3767_76.8558.png,28.376700000000003,76.8558,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.3590_77.3822.png,28.3590_77.3822.png,28.358999999999998,77.3822,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.5091_77.3409.png,28.5091_77.3409.png,28.5091,77.3409,50,Built-up,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_77.3444.png,28.2056_77.3444.png,28.2056,77.3444,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.7266_76.9734.png,28.7266_76.9734.png,28.726600000000012,76.9734,40,Cropland,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.9057_77.4944.png,28.9057_77.4944.png,28.90569999999999,77.4944,10,Tree cover,0.0,train
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.4442_77.2558.png,28.4442_77.2558.png,28.444200000000002,77.2558,20,Shrubland,0.0,train
